x1,y
60498,29500
60499,2986
60500,1099
60501,14499
60502,2500
60503,3900
60504,7200
60505,9000
60506,27300
60507,11599
60508,1350
60509,8600
60510,6500
60511,11700
60512,5500
60513,4000
60514,2800
60515,6990
60516,1450
60517,3500
60518,4900
60519,4000
60520,4699
60521,3700
60522,4300
60523,12900
60524,33650
60525,8950
60526,10300
60527,3150
60528,8990
60529,15999
60530,4600
60531,4100
60532,7200
60533,2500
60534,6999
60535,1750
60536,4100
60537,3500
60538,19980
60539,16900
60540,3600
60541,9900
60542,3900
60543,3800
60544,5750
60545,12800
60546,3390
60547,1100
60548,4750
60549,3980
60550,12000
60551,3400
60552,3600
60553,1600
60554,1500
60555,11000
60556,22000
60557,6500
60558,5300
60559,24500
60560,4100
60561,4495
60562,7950
60563,1699
60564,20000
60565,2999
60566,1100
60567,3500
60568,2600
60569,7500
60570,17307
60571,3200
60572,9300
60573,1650
60574,1799
60575,1700
60576,27000
60577,4590
60578,7150
60579,3799
60580,2700
60581,10250
60582,3800
60583,13000
60584,1250
60585,17500
60586,2000
60587,1050
60588,2000
60589,2000
60590,28600
60591,4444
60592,6500
60593,3400
60594,23500
60595,7490
60596,3650
60597,8887
60598,4450
60599,15800
60600,2500
60601,10299
60602,4900
60603,4800
60604,4250
60605,26900
60606,8350
60607,13900
60608,3300
60609,9100
60610,7200
60611,1699
60612,3999
60613,3500
60614,2700
60615,19999
60616,3300
60617,3000
60618,6250
60619,1500
60620,4000
60621,26400
60622,4500
60623,11400
60624,3650
60625,2100
60626,5750
60627,9999
60628,1400
60629,1100
60630,16999
60631,11300
60632,3000
60633,1200
60634,2890
60635,1400
60636,11250
60637,2900
60638,11499
60639,2900
60640,17000
60641,2700
60642,6700
60643,2500
60644,4150
60645,10350
60646,4500
60647,11500
60648,18750
60649,4400
60650,19999
60651,8499
60652,29500
60653,7999
60654,16500
60655,6600
60656,6290
60657,16900
60658,6700
60659,3500
60660,3990
60661,4200
60662,4500
60663,4000
60664,3500
60665,6800
60666,3500
60667,4300
60668,2900
60669,22580
60670,1900
60671,20880
60672,2200
60673,2750
60674,3600
60675,8990
60676,3400
60677,1800
60678,1900
60679,8990
60680,2600
60681,8200
60682,11999
60683,29500
60684,3690
60685,3400
60686,14489
60687,1400
60688,8990
60689,13490
60690,4900
60691,3300
60692,11850
60693,16990
60694,4500
60695,1100
60696,5000
60697,3150
60698,22000
60699,8750
60700,2400
60701,35900
60702,2590
60703,2399
60704,4700
60705,3500
60706,1400
60707,1500
60708,4700
60709,13800
60710,3700
60711,2900
60712,9750
60713,3290
60714,11900
60715,2250
60716,2850
60717,4500
60718,2800
60719,7000
60720,2750
60721,6099
60722,1190
60723,18700
60724,1111
60725,7300
60726,4500
60727,8950
60728,8000
60729,1190
60730,4000
60731,21600
60732,11490
60733,2250
60734,2190
60735,5400
60736,2999
60737,2950
60738,13900
60739,2750
60740,6150
60741,2500
60742,4750
60743,3200
60744,4200
60745,9300
60746,4200
60747,4800
60748,6500
60749,3799
60750,5000
60751,2400
60752,2400
60753,5350
60754,19500
60755,5700
60756,12290
60757,2800
60758,6900
60759,4100
60760,13900
60761,1899
60762,15500
60763,9550
60764,9000
60765,4000
60766,2500
60767,5400
60768,7999
60769,8999
60770,5400
60771,13500
60772,9999
60773,3900
60774,3850
60775,1600
60776,1400
60777,1100
60778,9100
60779,7500
60780,12500
60781,3999
60782,3100
60783,4650
60784,3899
60785,2650
60786,6590
60787,1200
60788,4100
60789,3149
60790,8500
60791,3800
60792,26500
60793,1200
60794,5990
60795,8500
60796,3299
60797,6499
60798,1550
60799,13900
60800,1600
60801,13800
60802,12999
60803,23900
60804,3899
60805,1900
60806,4500
60807,3998
60808,1200
60809,10900
60810,3500
60811,9000
60812,1900
60813,12799
60814,5200
60815,4500
60816,5500
60817,7900
60818,2000
60819,18999
60820,13666
60821,2990
60822,6000
60823,7500
60824,4444
60825,5399
60826,25000
60827,4200
60828,1150
60829,3700
60830,5200
60831,10999
60832,6900
60833,7500
60834,3200
60835,4790
60836,2499
60837,4400
60838,12200
60839,6150
60840,7590
60841,18000
60842,8795
60843,12900
60844,5500
60845,19999
60846,3999
60847,1800
60848,1400
60849,1900
60850,4000
60851,2489
60852,9800
60853,1500
60854,17700
60855,1499
60856,3299
60857,4990
60858,4500
60859,4300
60860,7200
60861,4199
60862,12490
60863,1890
60864,5200
60865,5700
60866,2800
60867,10600
60868,2850
60869,1149
60870,5999
60871,19000
60872,2850
60873,3200
60874,1600
60875,14200
60876,7500
60877,3650
60878,1650
60879,4799
60880,16890
60881,2550
60882,3950
60883,15000
60884,11900
60885,3300
60886,12999
60887,17000
60888,1111
60889,17000
60890,3000
60891,10200
60892,3999
60893,23500
60894,2700
60895,4250
60896,2300
60897,6100
60898,1349
60899,4000
60900,3000
60901,2900
60902,2200
60903,1300
60904,4250
60905,3800
60906,1550
60907,3999
60908,3999
60909,17000
60910,4800
60911,9390
60912,5450
60913,23900
60914,6500
60915,4700
60916,3000
60917,22900
60918,9900
60919,18500
60920,3999
60921,11490
60922,16500
60923,6000
60924,14500
60925,2400
60926,3290
60927,4700
60928,2499
60929,19900
60930,4444
60931,2750
60932,23999
60933,1950
60934,8500
60935,1500
60936,17600
60937,2650
60938,6200
60939,4250
60940,1900
60941,6450
60942,2800
60943,1250
60944,4800
60945,19999
60946,7899
60947,2900
60948,12900
60949,17900
60950,3450
60951,3900
60952,11999
60953,3450
60954,1390
60955,5100
60956,9300
60957,29900
60958,1150
60959,9600
60960,2666
60961,24999
60962,4999
60963,1250
60964,7799
60965,8200
60966,5990
60967,4399
60968,6900
60969,13999
60970,7199
60971,4950
60972,5000
60973,9900
60974,1150
60975,1700
60976,1199
60977,6500
60978,9049
60979,11299
60980,33000
60981,2849
60982,25500
60983,2850
60984,3950
60985,4622
60986,4990
60987,1999
60988,23999
60989,3999
60990,1800
60991,5800
60992,12500
60993,3000
60994,2000
60995,4550
60996,1300
60997,4990
60998,1299
60999,2200
61000,2200
61001,19350
61002,3690
61003,1600
61004,19900
61005,8890
61006,3380
61007,1600
61008,6890
61009,20990
61010,5400
61011,16000
61012,15700
61013,3750
61014,6000
61015,3000
61016,3800
61017,9000
61018,9250
61019,2200
61020,1690
61021,3100
61022,7900
61023,4400
61024,6200
61025,3750
61026,2299
61027,5900
61028,25000
61029,2199
61030,4500
61031,2490
61032,2200
61033,1200
61034,2450
61035,1770
61036,4500
61037,2950
61038,6000
61039,15990
61040,1500
61041,25999
61042,7000
61043,2300
61044,3999
61045,1999
61046,10200
61047,4650
61048,26500
61049,25800
61050,13000
61051,2400
61052,12850
61053,15400
61054,7300
61055,3299
61056,10999
61057,16660
61058,1660
61059,8750
61060,25000
61061,1300
61062,13900
61063,17450
61064,2400
61065,7600
61066,4500
61067,1100
61068,12000
61069,4800
61070,3900
61071,2150
61072,2500
61073,2900
61074,6999
61075,1050
61076,4100
61077,9800
61078,6990
61079,5200
61080,7800
61081,11000
61082,16500
61083,13900
61084,10999
61085,5000
61086,3200
61087,5999
61088,3200
61089,1999
61090,4690
61091,4999
61092,5750
61093,9500
61094,18990
61095,3299
61096,17500
61097,9800
61098,20500
61099,33850
61100,7777
61101,1200
61102,2200
61103,8690
61104,1400
61105,9680
61106,6990
61107,2500
61108,16250
61109,13131
61110,3900
61111,6990
61112,4690
61113,1250
61114,12800
61115,6500
61116,2800
61117,2190
61118,3990
61119,1790
61120,2300
61121,7900
61122,19990
61123,7499
61124,9490
61125,1950
61126,7790
61127,15200
61128,7222
61129,11500
61130,2999
61131,2799
61132,1999
61133,6500
61134,6500
61135,5500
61136,3100
61137,2699
61138,12890
61139,20950
61140,16000
61141,6550
61142,6700
61143,8950
61144,1350
61145,17480
61146,11200
61147,3999
61148,2399
61149,3250
61150,2599
61151,1999
61152,1800
61153,1200
61154,26250
61155,1199
61156,9000
61157,11200
61158,8500
61159,5500
61160,9990
61161,5500
61162,6600
61163,28980
61164,4000
61165,7650
61166,1300
61167,2600
61168,7999
61169,1600
61170,19900
61171,13000
61172,6500
61173,5300
61174,2600
61175,1500
61176,3300
61177,8100
61178,1280
61179,5990
61180,7899
61181,3099
61182,7299
61183,3299
61184,3500
61185,11890
61186,9899
61187,2550
61188,23900
61189,2550
61190,4400
61191,1850
61192,1400
61193,5999
61194,7299
61195,15990
61196,3999
61197,4800
61198,8000
61199,6999
61200,5100
61201,1100
61202,5500
61203,12000
61204,16000
61205,8000
61206,30500
61207,4500
61208,15000
61209,4100
61210,37900
61211,8400
61212,32000
61213,18900
61214,1990
61215,16999
61216,5950
61217,2399
61218,2100
61219,25500
61220,7299
61221,7200
61222,8250
61223,6890
61224,2800
61225,6500
61226,6499
61227,4000
61228,9900
61229,7999
61230,1850
61231,3100
61232,1600
61233,2350
61234,9000
61235,14500
61236,22900
61237,14950
61238,24000
61239,1350
61240,8500
61241,5000
61242,2700
61243,3200
61244,8850
61245,3600
61246,13999
61247,15200
61248,9950
61249,28000
61250,7700
61251,9800
61252,21500
61253,9100
61254,2500
61255,5500
61256,4700
61257,6099
61258,20999
61259,1950
61260,5800
61261,5600
61262,6300
61263,13499
61264,1250
61265,1200
61266,19875
61267,2600
61268,10800
61269,2500
61270,17990
61271,10500
61272,3500
61273,1250
61274,9799
61275,12500
61276,4755
61277,4650
61278,34500
61279,1500
61280,9499
61281,5800
61282,11000
61283,2950
61284,5900
61285,11999
61286,4250
61287,4500
61288,17800
61289,5750
61290,3999
61291,6800
61292,7700
61293,9000
61294,6250
61295,8999
61296,2200
61297,10000
61298,1400
61299,9990
61300,1200
61301,11450
61302,1950
61303,5350
61304,3600
61305,8990
61306,4999
61307,13850
61308,6999
61309,1800
61310,8300
61311,10250
61312,1500
61313,4950
61314,26900
61315,8500
61316,5199
61317,28000
61318,10000
61319,2100
61320,3800
61321,16500
61322,20500
61323,21990
61324,19999
61325,7500
61326,9799
61327,1850
61328,2500
61329,3500
61330,6300
61331,1800
61332,11950
61333,7299
61334,2250
61335,5200
61336,3000
61337,3900
61338,8850
61339,5500
61340,7500
61341,3300
61342,13900
61343,3800
61344,7999
61345,3490
61346,2490
61347,5600
61348,6990
61349,2500
61350,7700
61351,10990
61352,3900
61353,6500
61354,3650
61355,19800
61356,5350
61357,1500
61358,10900
61359,2800
61360,1299
61361,2500
61362,3700
61363,4500
61364,17500
61365,2950
61366,9900
61367,32000
61368,2450
61369,6000
61370,4500
61371,6600
61372,1750
61373,5200
61374,11900
61375,6200
61376,2500
61377,14990
61378,14500
61379,3900
61380,15900
61381,12000
61382,6500
61383,15300
61384,4300
61385,6900
61386,6450
61387,2490
61388,2650
61389,2200
61390,1600
61391,14500
61392,2500
61393,1499
61394,3350
61395,5500
61396,4200
61397,28699
61398,13000
61399,2900
61400,3690
61401,1700
61402,17999
61403,4850
61404,18999
61405,2100
61406,7500
61407,3850
61408,1850
61409,12399
61410,21000
61411,3950
61412,13500
61413,9400
61414,2300
61415,10500
61416,3250
61417,2600
61418,8299
61419,7999
61420,2000
61421,8900
61422,6550
61423,2200
61424,31900
61425,8499
61426,2850
61427,7400
61428,8999
61429,4700
61430,7850
61431,2850
61432,13800
61433,3350
61434,7990
61435,4800
61436,11950
61437,12990
61438,11500
61439,20990
61440,1450
61441,3800
61442,4999
61443,11500
61444,5790
61445,2600
61446,1550
61447,1700
61448,2700
61449,9950
61450,3400
61451,2250
61452,2400
61453,5100
61454,1150
61455,12500
61456,1950
61457,1350
61458,5000
61459,9200
61460,9700
61461,1300
61462,6100
61463,6250
61464,3700
61465,3950
61466,7900
61467,7999
61468,9999
61469,3499
61470,16900
61471,2499
61472,2900
61473,3900
61474,11909
61475,3200
61476,5999
61477,3200
61478,5850
61479,3700
61480,7500
61481,9999
61482,1950
61483,2200
61484,1050
61485,16450
61486,9000
61487,6290
61488,1750
61489,5350
61490,1600
61491,17350
61492,3800
61493,17899
61494,4790
61495,4200
61496,8900
61497,4799
61498,11999
61499,9900
61500,8200
61501,6799
61502,1800
61503,5250
61504,6999
61505,2990
61506,14700
61507,9420
61508,12800
61509,2990
61510,2650
61511,1300
61512,3000
61513,5005
61514,4500
61515,5500
61516,23500
61517,2300
61518,5900
61519,8000
61520,2850
61521,1500
61522,5490
61523,6500
61524,3100
61525,3390
61526,3500
61527,8550
61528,2250
61529,6200
61530,2250
61531,5850
61532,1690
61533,1500
61534,12000
61535,6199
61536,20500
61537,16900
61538,2200
61539,11950
61540,4290
61541,3499
61542,10900
61543,4500
61544,7800
61545,3700
61546,5250
61547,2999
61548,4350
61549,2400
61550,3600
61551,22500
61552,8500
61553,6400
61554,12500
61555,5100
61556,3900
61557,3000
61558,9950
61559,11000
61560,8250
61561,9790
61562,2499
61563,10000
61564,7500
61565,1500
61566,2799
61567,2999
61568,3100
61569,4100
61570,7990
61571,6500
61572,1400
61573,1850
61574,4500
61575,10990
61576,11900
61577,20000
61578,2500
61579,6200
61580,2000
61581,6990
61582,1900
61583,24680
61584,1699
61585,4500
61586,3600
61587,13200
61588,10500
61589,4400
61590,9990
61591,8900
61592,1500
61593,1300
61594,2300
61595,4300
61596,6500
61597,5600
61598,2750
61599,4200
61600,13300
61601,3890
61602,5100
61603,12900
61604,34500
61605,11899
61606,1190
61607,2800
61608,3799
61609,16990
61610,1690
61611,15900
61612,1999
61613,12800
61614,4200
61615,39800
61616,15999
61617,7200
61618,18500
61619,2290
61620,5749
61621,2450
61622,7200
61623,4750
61624,7950
61625,2900
61626,3250
61627,26000
61628,12000
61629,14999
61630,3000
61631,1400
61632,2950
61633,3500
61634,13450
61635,6200
61636,3699
61637,8350
61638,9350
61639,3500
61640,5500
61641,1400
61642,14640
61643,2800
61644,19000
61645,3550
61646,13999
61647,5500
61648,9999
61649,8500
61650,2950
61651,15800
61652,15000
61653,5950
61654,4200
61655,9999
61656,1200
61657,1999
61658,3500
61659,6000
61660,19900
61661,3300
61662,10300
61663,27950
61664,3000
61665,2999
61666,2200
61667,6500
61668,33900
61669,4800
61670,5990
61671,7600
61672,5750
61673,2000
61674,2200
61675,7500
61676,22500
61677,1800
61678,15200
61679,2700
61680,2200
61681,2300
61682,1750
61683,4499
61684,12500
61685,4850
61686,1850
61687,22980
61688,3699
61689,10300
61690,7250
61691,33000
61692,9500
61693,1999
61694,13500
61695,1399
61696,5500
61697,2399
61698,24500
61699,2550
61700,6499
61701,3700
61702,4150
61703,12000
61704,1999
61705,35500
61706,2500
61707,2800
61708,9500
61709,1500
61710,13450
61711,3900
61712,12900
61713,1600
61714,6400
61715,5000
61716,12900
61717,7990
61718,6990
61719,26400
61720,12700
61721,3600
61722,8500
61723,1700
61724,1950
61725,1699
61726,24900
61727,5555
61728,3500
61729,1850
61730,20000
61731,11750
61732,6800
61733,7250
61734,2900
61735,3550
61736,1950
61737,15900
61738,10499
61739,2999
61740,3950
61741,1150
61742,3900
61743,4400
61744,5250
61745,4700
61746,1200
61747,6888
61748,5250
61749,1100
61750,4150
61751,6800
61752,14900
61753,3390
61754,3300
61755,15999
61756,3199
61757,15000
61758,36500
61759,5900
61760,3100
61761,4099
61762,18499
61763,1650
61764,3750
61765,9600
61766,1600
61767,5000
61768,8500
61769,5350
61770,9200
61771,11900
61772,17900
61773,3300
61774,15600
61775,1550
61776,4450
61777,5200
61778,8700
61779,13200
61780,2500
61781,1500
61782,13199
61783,10700
61784,17900
61785,7500
61786,9390
61787,3900
61788,6599
61789,10500
61790,28900
61791,11000
61792,2000
61793,1300
61794,4690
61795,19900
61796,1250
61797,2500
61798,12000
61799,3900
61800,3190
61801,17500
61802,1600
61803,7800
61804,7200
61805,4000
61806,9300
61807,2999
61808,4800
61809,6580
61810,7500
61811,18500
61812,7280
61813,1500
61814,3200
61815,1650
61816,1900
61817,1600
61818,15500
61819,3300
61820,1499
61821,5700
61822,9250
61823,15500
61824,1500
61825,10750
61826,5950
61827,7300
61828,10999
61829,2450
61830,1599
61831,2150
61832,2499
61833,12200
61834,4000
61835,3950
61836,2500
61837,9500
61838,11500
61839,1890
61840,11900
61841,13500
61842,3900
61843,13000
61844,6490
61845,11500
61846,2150
61847,9000
61848,4250
61849,7999
61850,3290
61851,8950
61852,5500
61853,28700
61854,8000
61855,19499
61856,2400
61857,3150
61858,5800
61859,16990
61860,2500
61861,7188
61862,2250
61863,1599
61864,7490
61865,9170
61866,2600
61867,1800
61868,3999
61869,6000
61870,1450
61871,5000
61872,1499
61873,2500
61874,1199
61875,17200
61876,5600
61877,5700
61878,5800
61879,2200
61880,27500
61881,12800
61882,31590
61883,7200
61884,8999
61885,2000
61886,8450
61887,1100
61888,17500
61889,1099
61890,2550
61891,2700
61892,13800
61893,9499
61894,12500
61895,4800
61896,18950
61897,1990
61898,13599
61899,17777
61900,10490
61901,6995
61902,16990
61903,3200
61904,4500
61905,24000
61906,4700
61907,19950
61908,2900
61909,1500
61910,19750
61911,3200
61912,21490
61913,9950
61914,2950
61915,4200
61916,1200
61917,7190
61918,1200
61919,2599
61920,2250
61921,8250
61922,1500
61923,18899
61924,18900
61925,31999
61926,8200
61927,20800
61928,2950
61929,4499
61930,6290
61931,2999
61932,8499
61933,3300
61934,4600
61935,4950
61936,1990
61937,16890
61938,1550
61939,13500
61940,5600
61941,3490
61942,5499
61943,6750
61944,2950
61945,3480
61946,2750
61947,6790
61948,2900
61949,4500
61950,6800
61951,5650
61952,7999
61953,9800
61954,1900
61955,2950
61956,11900
61957,4890
61958,13900
61959,1650
61960,1590
61961,4600
61962,2300
61963,22000
61964,16500
61965,2500
61966,7499
61967,1600
61968,24500
61969,15900
61970,7800
61971,2200
61972,1899
61973,2500
61974,1600
61975,5000
61976,7900
61977,17200
61978,6550
61979,2550
61980,8900
61981,1350
61982,2850
61983,1700
61984,6000
61985,3750
61986,3885
61987,2400
61988,37241
61989,10790
61990,5400
61991,2000
61992,2600
61993,3850
61994,1100
61995,14980
61996,2700
61997,5400
61998,10900
61999,14500
62000,2990
62001,9900
62002,9500
62003,1550
62004,6999
62005,7500
62006,6780
62007,1250
62008,27900
62009,3200
62010,1450
62011,14950
62012,16000
62013,2550
62014,3800
62015,8150
62016,10700
62017,1590
62018,19900
62019,4200
62020,5000
62021,2450
62022,18500
62023,16500
62024,2850
62025,1950
62026,4250
62027,16700
62028,6940
62029,10300
62030,5800
62031,4600
62032,3200
62033,2400
62034,8200
62035,2500
62036,1700
62037,1800
62038,8950
62039,6200
62040,4200
62041,10700
62042,4411
62043,1399
62044,1200
62045,3750
62046,1450
62047,9950
62048,5750
62049,3500
62050,10500
62051,16900
62052,8250
62053,15000
62054,4500
62055,2490
62056,1300
62057,6450
62058,7950
62059,1500
62060,2350
62061,15000
62062,15700
62063,3990
62064,1099
62065,15000
62066,7200
62067,5199
62068,3490
62069,11900
62070,2700
62071,3350
62072,1390
62073,6990
62074,3320
62075,3900
62076,4450
62077,11500
62078,2400
62079,19500
62080,21500
62081,11148
62082,2399
62083,1600
62084,7990
62085,1500
62086,7200
62087,2399
62088,3480
62089,5900
62090,7500
62091,3333
62092,2200
62093,3480
62094,1250
62095,7950
62096,4200
62097,12300
62098,2950
62099,3950
62100,3300
62101,5800
62102,3350
62103,9300
62104,4799
62105,19500
62106,2400
62107,4900
62108,1980
62109,6800
62110,4400
62111,3998
62112,9990
62113,6999
62114,4750
62115,15500
62116,5372
62117,2850
62118,15900
62119,4250
62120,15390
62121,1199
62122,21900
62123,6150
62124,7950
62125,26850
62126,6500
62127,24200
62128,1800
62129,2500
62130,11500
62131,4999
62132,4300
62133,5500
62134,1200
62135,5999
62136,14990
62137,12300
62138,6150
62139,2490
62140,2400
62141,1800
62142,6999
62143,15499
62144,3000
62145,8800
62146,15999
62147,13499
62148,28999
62149,10749
62150,1675
62151,24850
62152,2999
62153,1950
62154,5750
62155,7400
62156,3200
62157,6500
62158,6900
62159,1500
62160,1699
62161,5999
62162,2200
62163,9200
62164,4500
62165,3350
62166,1290
62167,1390
62168,1890
62169,2100
62170,18300
62171,5500
62172,8000
62173,7800
62174,7500
62175,1600
62176,3200
62177,6990
62178,3999
62179,22900
62180,1999
62181,4700
62182,11900
62183,10500
62184,1990
62185,4900
62186,2000
62187,18600
62188,12480
62189,31500
62190,5450
62191,4499
62192,4899
62193,1890
62194,3499
62195,1300
62196,9800
62197,3950
62198,23900
62199,2990
62200,22450
62201,3990
62202,5000
62203,11000
62204,6800
62205,9000
62206,6000
62207,2500
62208,5600
62209,1499
62210,3899
62211,6000
62212,14500
62213,3100
62214,12999
62215,1700
62216,3400
62217,1500
62218,1780
62219,7300
62220,1980
62221,24450
62222,19599
62223,8900
62224,13900
62225,7400
62226,19200
62227,12500
62228,6500
62229,10400
62230,4200
62231,7599
62232,2500
62233,1100
62234,15400
62235,2250
62236,9450
62237,2200
62238,1550
62239,3800
62240,6600
62241,3100
62242,29500
62243,1200
62244,3200
62245,15500
62246,1299
62247,15500
62248,7550
62249,24990
62250,8950
62251,4499
62252,11490
62253,1250
62254,1550
62255,26750
62256,9250
62257,3500
62258,5300
62259,3200
62260,1500
62261,4190
62262,14900
62263,13750
62264,1600
62265,12000
62266,12500
62267,4899
62268,3499
62269,8300
62270,6690
62271,6500
62272,14500
62273,1700
62274,2500
62275,21000
62276,6800
62277,4199
62278,5000
62279,1149
62280,2200
62281,6800
62282,3450
62283,3250
62284,1400
62285,28900
62286,5600
62287,2800
62288,11200
62289,8798
62290,2800
62291,2900
62292,6200
62293,1450
62294,14990
62295,9500
62296,12350
62297,21900
62298,11500
62299,4100
62300,9750
62301,10950
62302,2999
62303,17990
62304,6999
62305,1200
62306,7390
62307,9700
62308,30000
62309,2600
62310,4950
62311,6200
62312,2300
62313,5650
62314,12950
62315,2500
62316,4600
62317,2990
62318,5950
62319,1350
62320,7999
62321,5000
62322,11850
62323,4250
62324,7000
62325,3350
62326,3100
62327,4600
62328,14999
62329,7500
62330,2390
62331,3250
